Player,Squad,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%
Neco Williams,Nott'ham Forest,302,370,81.6,4643,163,178,91.6,125,145,86.2,9,32,28.1
Estêvão Willian,Chelsea,84,104,80.8,1372,43,51,84.3,37,41,90.2,3,8,37.5
Joe Willock,Newcastle Utd,15,20,75.0,261,7,9,77.8,7,7,100.0,1,2,50.0
Callum Wilson,West Ham,13,22,59.1,164,5,7,71.4,6,10,60.0,0,1,0.0
Harry Wilson,Fulham,106,143,74.1,1584,59,65,90.8,33,44,75.0,8,22,36.4
Ben Winterburn,Bournemouth,0,1,0.0,0,0,1,0.0,0,0,,0,0,
Florian Wirtz,Liverpool,194,251,77.3,3086,99,117,84.6,72,86,83.7,16,28,57.1
Nick Woltemade,Newcastle Utd,29,39,74.4,314,22,27,81.5,6,10,60.0,0,0,
Chris Wood,Nott'ham Forest,48,70,68.6,670,28,35,80.0,17,25,68.0,0,2,0.0
Joe Worrall,Burnley,1,4,25.0,26,0,1,0.0,1,2,50.0,0,0,
Granit Xhaka,Sunderland,333,415,80.2,6457,130,149,87.2,146,169,86.4,49,78,62.8
Yehor Yarmoliuk,Brentford,167,202,82.7,2882,83,91,91.2,66,75,88.0,13,25,52.0
Ryan Yates,Nott'ham Forest,20,22,90.9,320,12,12,100.0,5,5,100.0,3,4,75.0
Leny Yoro,Manchester Utd,215,250,86.0,3858,92,99,92.9,103,113,91.2,17,31,54.8
Oleksandr Zinchenko,Nott'ham Forest,165,178,92.7,2726,78,80,97.5,77,82,93.9,10,13,76.9
Joshua Zirkzee,Manchester Utd,26,32,81.3,301,22,26,84.6,4,6,66.7,0,0,
Martín Zubimendi,Arsenal,362,407,88.9,5900,172,187,92.0,165,183,90.2,21,28,75.0
Martin Ødegaard,Arsenal,111,140,79.3,1924,53,59,89.8,45,55,81.8,12,19,63.2
